Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
AB Agarkar,2006-2007,4,2,0,15,14,7.50,136.36,-,-,-
KK Ahmed,2018-2019,14,1,1,1,1*,-,100.0,-,-,-
S Aravind,2015-2015,1,-,0,-,-,-,0.0,-,-,-
Arshdeep Singh,2022-2024,44,12,8,34,12,8.50,125.92,-,-,2
R Ashwin,2010-2022,65,19,12,184,31*,26.28,115.0,-,-,-
Avesh Khan,2022-2023,19,4,3,11,8,11.00,137.5,-,-,-
P Awana,2012-2012,2,-,0,-,-,-,0.0,-,-,-
S Badrinath,2011-2011,1,1,0,43,43,43.00,116.21,-,-,-
L Balaji,2012-2012,5,-,0,-,-,-,0.0,-,-,-
STR Binny,2015-2016,3,2,0,35,24,17.50,120.68,-,-,-
JJ Bumrah,2016-2023,62,7,5,8,7,4.00,61.53,-,-,1
YS Chahal,2016-2023,80,6,4,6,3*,3.00,46.15,-,-,-
DL Chahar,2018-2023,25,7,5,53,31,26.50,189.28,-,-,1
RD Chahar,2019-2021,6,1,0,5,5,5.00,100.0,-,-,-
PP Chawla,2010-2012,7,1,0,-,0,0.00,0.0,-,-,1
R Dhawan,2016-2016,1,1,1,1,1*,-,50.0,-,-,-
S Dhawan,2011-2021,68,66,3,1759,92,27.92,126.36,-,11,2
MS Dhoni,2006-2019,98,85,42,1617,56,37.60,126.13,-,2,1
AB Dinda,2009-2012,9,2,1,22,19,22.00,91.66,-,-,-
R Dravid,2011-2011,1,1,0,31,31,31.00,147.61,-,-,-
S Dube,2019-2024,20,13,7,275,63*,45.83,149.45,-,3,-
RD Gaikwad,2021-2023,19,17,3,500,123*,35.71,140.05,1,3,1
G Gambhir,2007-2012,37,36,2,932,75,27.41,119.02,-,7,2
Harbhajan Singh,2006-2016,28,13,5,108,21,13.50,124.13,-,-,1
DJ Hooda,2022-2023,21,17,5,368,104,30.66,147.2,1,-,2
Ishan Kishan,2021-2023,32,32,1,796,89,25.67,124.37,-,6,1
SS Iyer,2017-2023,51,47,11,1104,74*,30.66,136.12,-,8,4
VR Iyer,2021-2022,9,7,3,133,35*,33.25,162.19,-,-,-
RA Jadeja,2009-2023,66,36,15,480,46*,22.85,125.32,-,-,2
KM Jadhav,2015-2017,9,6,0,122,58,20.33,123.23,-,1,-
YBK Jaiswal,2023-2024,16,15,1,498,100,35.57,163.81,1,4,2
Joginder Sharma,2007-2007,4,-,0,-,-,-,0.0,-,-,-
KD Karthik,2006-2022,59,47,22,686,55,27.44,144.11,-,1,2
M Kartik,2007-2007,1,-,0,-,-,-,0.0,-,-,-
S Kaul,2018-2019,3,-,0,-,-,-,0.0,-,-,-
Z Khan,2006-2012,17,4,2,13,9,6.50,130.0,-,-,-
V Kohli,2010-2024,116,108,31,4037,122*,52.42,138.2,1,37,4
Kuldeep Yadav,2017-2023,34,7,3,46,23*,11.50,77.96,-,-,2
DS Kulkarni,2016-2016,2,1,1,1,1*,-,100.0,-,-,-
B Kumar,2012-2022,87,21,13,67,16,8.37,71.27,-,-,2
P Kumar,2008-2012,10,3,0,7,6,2.33,43.75,-,-,1
Mandeep Singh,2016-2016,3,3,1,87,52*,43.50,119.17,-,1,-
M Markande,2019-2019,1,-,0,-,-,-,0.0,-,-,-
A Mishra,2010-2017,10,1,0,-,0,0.00,0.0,-,-,1
Mohammed Shami,2014-2022,23,3,2,-,0*,0.00,0.0,-,-,1
Mohammed Siraj,2017-2023,10,2,1,7,5,7.00,87.5,-,-,-
D Mongia,2006-2006,1,1,0,38,38,38.00,84.44,-,-,-
Mukesh Kumar,2023-2024,13,3,3,5,4*,-,250.0,-,-,-
T Natarajan,2020-2021,4,-,0,-,-,-,0.0,-,-,-
P Negi,2016-2016,1,-,0,-,-,-,0.0,-,-,-
A Nehra,2009-2017,27,5,0,28,22,5.60,71.79,-,-,3
NV Ojha,2010-2010,2,2,0,12,10,6.00,44.44,-,-,-
PP Ojha,2009-2010,6,1,1,10,10*,-,166.66,-,-,-
D Padikkal,2021-2021,2,2,0,38,29,19.00,100.0,-,-,-
MK Pandey,2015-2020,39,33,17,709,79*,44.31,126.15,-,3,2
HH Pandya,2016-2023,92,71,18,1348,71*,25.43,139.83,-,3,3
KH Pandya,2018-2021,19,10,5,124,26*,24.80,130.52,-,-,-
RR Pant,2017-2022,66,56,12,987,65*,22.43,126.37,-,3,3
Parvez Rasool,2017-2017,1,1,0,5,5,5.00,83.33,-,-,-
AR Patel,2015-2024,52,31,12,361,65,19.00,144.4,-,1,2
HV Patel,2021-2023,25,10,4,77,18,12.83,135.08,-,-,1
MM Patel,2011-2011,3,1,0,-,0,0.00,0.0,-,-,1
PA Patel,2011-2011,2,2,0,36,26,18.00,112.5,-,-,-
IK Pathan,2006-2012,24,14,7,172,33*,24.57,119.44,-,-,-
YK Pathan,2007-2012,22,18,5,236,37*,18.15,146.58,-,-,3
M Prasidh Krishna,2023-2023,5,-,0,-,-,-,0.0,-,-,-
AM Rahane,2011-2016,20,20,2,375,61,20.83,113.29,-,1,2
KL Rahul,2016-2022,72,68,8,2265,110*,37.75,139.12,2,22,5
SK Raina,2006-2018,78,66,11,1605,101,29.18,134.87,1,5,3
N Rana,2021-2021,2,2,0,15,9,7.50,55.55,-,-,-
Ravi Bishnoi,2022-2024,23,6,2,24,8*,6.00,171.42,-,-,1
AT Rayudu,2014-2016,6,5,1,42,20,10.50,84.0,-,-,2
